Date,Forecast,Lower,Upper,Dia_horizonte,Ancho_IC,Ancho_IC_%
2023-10-27,457.0098201678272,368.1195349538806,545.9001053817738,57,177.78057042789317,38.90082063501546
2023-10-28,457.0098201678272,367.37696966827014,546.6426706673842,58,179.26570099911407,39.225787518807046
2023-10-29,457.0098201678272,366.6405058408106,547.3791344948438,59,180.73862865403322,39.548084237590515
2023-10-30,457.0098201678272,365.9099954962379,548.1096448394164,60,182.19964934317852,39.86777554938963
2023-10-31,457.0098201678272,365.18529654557534,548.834343790079,61,183.6490472445036,40.18492363622786
2023-11-01,457.0098201678272,364.46627246344826,549.5533678722061,62,185.08709540875782,40.49958824534416
2023-11-02,457.0098201678272,363.7527919877922,550.2668483478622,63,186.51405636006996,40.811826820608935
2023-11-03,457.0098201678272,363.04472884008453,550.9749114955698,64,187.93018265548528,41.121694624958366
2023-11-04,457.0098201678272,362.3419614644098,551.6776788712446,65,189.33571740683476,41.42924485458654
2023-11-05,457.0098201678272,361.644372783833,552.3752675518214,66,190.7308947679884,41.73452874556317
2023-11-06,457.0098201678272,360.95184997269683,553.0677903629576,67,192.11594039026073,42.037595673482514
2023-11-07,457.0098201678272,360.26428424359074,553.7553560920636,68,193.49107184847287,42.33849324669159
2023-11-08,457.0098201678272,359.5815706478501,554.4380696878042,69,194.85649903995403,42.63726739359717
2023-11-09,457.0098201678272,358.90360788855264,555.1160324471017,70,196.21242455854906,42.933962444503756
2023-11-10,457.0098201678272,358.2302981450655,555.7893421905889,71,197.55904404552336,43.22862120839635
2023-11-11,457.0098201678272,357.56154690828566,556.4580934273687,72,198.89654651908302,43.521285045043996
2023-11-12,457.0098201678272,356.89726282578533,557.122377509869,73,200.22511468408368,43.81199393276828
2023-11-13,457.0098201678272,356.2373575561454,557.7822827795089,74,201.54492522336352,44.100786532191016
2023-11-14,457.0098201678272,355.5817456318193,558.4378947038351,75,202.85614907201585,44.387700246248805
2023-11-15,457.0098201678272,354.9303443299235,559.0892960057308,76,204.15895167580732,44.67277127673849
2023-11-16,457.0098201678272,354.2830735504037,559.7365667852507,77,205.45349323484703,44.95603467763528
2023-11-17,457.0098201678272,353.6398557010658,560.3797846345885,78,206.73992893352272,45.23752440540596
2023-11-18,457.0098201678272,353.0006155890079,561.0190247466464,79,208.01840915763853,45.51727336652157
2023-11-19,457.0098201678272,352.3652803180201,561.6543600176343,80,209.2890796996142,45.79531346235782
2023-11-20,457.0098201678272,351.7337791915583,562.2858611440961,81,210.55208195253778,46.07167563165645
2023-11-21,457.0098201678272,351.1060436209248,562.9135967147295,82,211.80755309380464,46.346389890708
2023-11-22,457.0098201678272,350.48200703831907,563.5376332973352,83,213.05562625901615,46.61948537140317
2023-11-23,457.0098201678272,349.86160481444585,564.1580355212085,84,214.29643070676264,46.89099035728966
2023-11-24,457.0098201678272,349.2447741803932,564.7748661552612,85,215.53009197486796,47.1609323177605
2023-11-25,457.0098201678272,348.6314541535117,565.3881861821426,86,216.7567320286309,47.42933794049143
2023-11-26,457.0098201678272,348.02158546704806,565.9980548686062,87,217.97646940155818,47.6962331622351
2023-11-27,457.0098201678272,347.41511050330325,566.6045298323511,88,219.18941932904784,47.96164319807289
2023-11-28,457.0098201678272,346.8119732301013,567.2076671055531,89,220.39569387545185,48.22559256921792
2023-11-29,457.0098201678272,346.21211914037065,567.8075211952837,90,221.59540205491305,48.488105129455825
2023-11-30,457.0098201678272,345.6154951946544,568.404145141,91,222.78864994634557,48.74920409030405
2023-12-01,457.0098201678272,345.02204976637665,568.9975905692777,92,223.97554080290104,49.00891204496454
2023-12-02,457.0098201678272,344.43173258970575,569.5879077459485,93,225.1561751562428,49.2672509911404
2023-12-03,457.0098201678272,343.84449470986567,570.1751456257887,94,226.330650915923,49.524242352780924
2023-12-04,457.0098201678272,343.2602884357557,570.7593518998987,95,227.49906346414298,49.77990700081648
2023-12-05,457.0098201678272,342.6790672947497,571.3405730409047,96,228.661505746155,50.03426527293963
2023-12-06,457.0098201678272,342.1007859895525,571.9188543461019,97,229.81806835654936,50.28733699248596
